land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,distance_to_school,wall_fence,house_age,water_front,distance_to_supermarket,crime_rate_index,room_size,property_value
336 sqm,310 sqm,5,4,Yes,Yes,Yes,Yes,5.8km,Yes,21 Years,No,4.1 km,2.11,extra_large,264968
469 sqm,412 sqm,7,5,Yes,Yes,Yes,Yes,0.9km,No,5 Years,No,0.3 km,2.62,extra_large,367791
206 sqm,198 sqm,3,2,Yes,No,No,No,2.1km,Yes,13 Years,No,2.3 km,0.25,medium,159979
261 sqm,231 sqm,4,4,Yes,Yes,Yes,Yes,1.4km,No,17 Years,Yes,0.6 km,1.59,large,253517
202 sqm,178 sqm,3,3,Yes,Yes,No,Yes,3.4km,Yes,2 Years,No,4.7 km,4.37,medium,160660
189 sqm,181 sqm,2,2,No,Yes,Yes,No,5.9km,Yes,1 Years,No,5.3 km,0.34,medium,152745
264 sqm,260 sqm,5,4,Yes,Yes,Yes,Yes,2.7km,Yes,21 Years,No,4.5 km,3.93,extra_large,215895
234 sqm,226 sqm,4,4,Yes,Yes,Yes,Yes,4.4km,Yes,8 Years,No,6.7 km,2.42,large,207301
250 sqm,230 sqm,5,4,Yes,Yes,Yes,Yes,3.8km,Yes,3 Years,No,0.8 km,3.55,large,228221
205 sqm,198 sqm,4,5,Yes,Yes,Yes,Yes,6.7km,Yes,19 Years,No,6.5 km,5.55,medium,140752
144 sqm,140 sqm,2,2,Yes,No,No,No,3.3km,No,16 Years,No,1.2 km,3.27,medium,85835
154 sqm,151 sqm,3,2,Yes,No,No,Yes,0.4km,No,1 Years,No,2.1 km,4.28,medium,126690
197 sqm,180 sqm,3,3,Yes,Yes,Yes,No,0.1km,No,19 Years,No,5.3 km,2.65,extra_large,155339
103 sqm,99 sqm,1,1,Yes,No,No,No,0.8km,No,21 Years,No,4.9 km,0.88,large,84665
149 sqm,148 sqm,1,1,Yes,No,No,No,4.6km,Yes,21 Years,No,5.1 km,5.43,medium,81022
124 sqm,116 sqm,2,3,No,No,Yes,No,2.4km,No,11 Years,No,4.4 km,1.66,large,94299
320 sqm,295 sqm,5,2,Yes,Yes,Yes,Yes,5.5km,Yes,15 Years,No,2.7 km,4.56,large,246796
217 sqm,217 sqm,3,2,Yes,No,Yes,No,0.5km,Yes,12 Years,No,4.9 km,5.53,large,165148
163 sqm,149 sqm,2,3,Yes,Yes,No,No,1.1km,No,1 Years,No,6.8 km,3.38,small,107098
233 sqm,226 sqm,4,5,Yes,Yes,No,Yes,4.7km,No,22 Years,No,4.2 km,0.60,extra_large,175603
223 sqm,212 sqm,3,1,No,Yes,No,No,3.3km,No,1 Years,No,4.4 km,5.44,large,138952
593 sqm,528 sqm,7,4,Yes,Yes,Yes,Yes,3.3km,Yes,9 Years,No,6.5 km,4.01,extra_large,459310
112 sqm,106 sqm,1,1,No,No,No,No,3.8km,Yes,6 Years,No,2.8 km,2.81,extra_large,78352
224 sqm,217 sqm,4,2,Yes,Yes,Yes,Yes,2.2km,Yes,5 Years,No,5.1 km,3.64,medium,193149
301 sqm,298 sqm,4,2,Yes,No,Yes,Yes,4.5km,Yes,20 Years,No,4.3 km,5.28,extra_large,216299
262 sqm,241 sqm,5,4,Yes,Yes,Yes,Yes,2.6km,Yes,3 Years,No,4.6 km,5.51,large,214952
167 sqm,150 sqm,2,1,Yes,Yes,No,No,2.3km,No,22 Years,No,0.7 km,4.76,large,110584
351 sqm,315 sqm,5,3,Yes,Yes,Yes,Yes,2.5km,Yes,2 Years,No,0.1 km,0.75,extra_large,306327
355 sqm,317 sqm,5,4,Yes,Yes,Yes,Yes,6.5km,Yes,9 Years,No,0.6 km,3.24,large,295014
211 sqm,206 sqm,4,2,Yes,Yes,Yes,Yes,3.5km,No,2 Years,No,4.4 km,3.94,medium,166134
127 sqm,114 sqm,2,3,No,No,Yes,No,5.5km,No,3 Years,No,3.1 km,3.06,medium,84043
233 sqm,225 sqm,4,4,Yes,Yes,Yes,Yes,3.5km,Yes,11 Years,No,5.4 km,1.58,extra_large,204631
277 sqm,276 sqm,5,4,Yes,No,Yes,Yes,1.5km,Yes,20 Years,No,2.4 km,5.22,extra_large,220105
292 sqm,260 sqm,5,2,Yes,Yes,Yes,Yes,6.8km,Yes,3 Years,No,4.6 km,0.37,large,257781
103 sqm,92 sqm,1,1,Yes,Yes,No,No,1.4km,No,20 Years,No,0.8 km,4.72,small,67630
385 sqm,373 sqm,6,5,Yes,Yes,Yes,Yes,2.5km,Yes,13 Years,No,6.7 km,3.05,extra_large,301271
178 sqm,158 sqm,2,3,No,No,No,No,3.3km,No,15 Years,No,1.9 km,1.80,large,119338
237 sqm,226 sqm,3,3,Yes,Yes,No,No,0.7km,Yes,9 Years,No,3.6 km,0.95,large,208145
214 sqm,202 sqm,4,3,Yes,Yes,Yes,Yes,6.1km,Yes,22 Years,No,2.3 km,4.26,extra_large,158824
213 sqm,205 sqm,4,3,Yes,Yes,Yes,Yes,0.7km,Yes,16 Years,No,5.1 km,5.39,large,170228
184 sqm,167 sqm,2,3,Yes,Yes,No,No,3.4km,No,3 Years,No,5.2 km,3.27,small,117098
301 sqm,267 sqm,5,4,Yes,Yes,Yes,Yes,1.8km,Yes,11 Years,No,6.9 km,0.90,large,272066
466 sqm,415 sqm,6,5,Yes,Yes,Yes,Yes,1.4km,Yes,22 Years,No,1.2 km,1.33,large,382160
304 sqm,277 sqm,5,3,Yes,Yes,Yes,Yes,6.8km,Yes,11 Years,No,4.4 km,3.42,large,253392
150 sqm,128 sqm,1,1,Yes,Yes,No,No,0.2km,No,17 Years,No,0.3 km,0.02,large,135727
204 sqm,175 sqm,4,2,Yes,Yes,No,No,4.8km,Yes,4 Years,No,1.7 km,5.55,medium,144598
321 sqm,293 sqm,5,4,Yes,Yes,Yes,Yes,4.7km,Yes,18 Years,No,0.7 km,4.99,large,270612
164 sqm,146 sqm,3,4,Yes,Yes,No,No,0.4km,Yes,15 Years,No,2.3 km,1.72,medium,145480
284 sqm,261 sqm,4,5,Yes,Yes,Yes,No,5.3km,Yes,11 Years,No,6.3 km,0.76,large,230916
132 sqm,122 sqm,1,1,Yes,No,No,Yes,1.7km,Yes,19 Years,No,0.1 km,2.83,extra_large,110243
342 sqm,329 sqm,5,3,Yes,Yes,Yes,Yes,1.7km,Yes,17 Years,No,6.2 km,5.72,extra_large,252377
409 sqm,408 sqm,6,4,Yes,Yes,Yes,Yes,2.8km,Yes,15 Years,No,6.8 km,0.43,large,347585
232 sqm,220 sqm,4,5,No,Yes,Yes,Yes,2.8km,Yes,12 Years,No,3.7 km,3.82,medium,193877
314 sqm,270 sqm,5,3,No,Yes,Yes,Yes,4.5km,Yes,1 Years,No,3.9 km,1.16,extra_large,269716
237 sqm,207 sqm,4,2,Yes,Yes,Yes,Yes,1.9km,Yes,13 Years,No,3.9 km,4.23,medium,204842
151 sqm,132 sqm,3,2,No,Yes,No,Yes,5.2km,No,19 Years,No,1.2 km,1.21,medium,116681
339 sqm,323 sqm,5,5,Yes,Yes,Yes,Yes,5.8km,No,2 Years,No,1.8 km,0.26,extra_large,268613
167 sqm,155 sqm,2,3,No,No,Yes,No,6.1km,No,11 Years,No,0.7 km,2.06,small,113595
152 sqm,143 sqm,3,1,Yes,No,No,No,6.8km,Yes,6 Years,No,2.4 km,0.41,extra_large,117543
260 sqm,228 sqm,4,4,Yes,Yes,No,No,4.2km,Yes,4 Years,No,0.6 km,5.56,extra_large,191851
190 sqm,181 sqm,4,3,No,Yes,Yes,Yes,6.2km,No,1 Years,No,6.1 km,3.48,extra_large,142571
261 sqm,246 sqm,4,5,Yes,Yes,Yes,Yes,6.2km,Yes,11 Years,No,6.2 km,0.08,large,239325
138 sqm,129 sqm,1,2,Yes,No,No,No,3.1km,No,15 Years,No,1.3 km,1.09,small,93344
236 sqm,235 sqm,3,1,No,No,Yes,No,3.3km,Yes,3 Years,No,4.2 km,2.48,extra_large,175579
192 sqm,179 sqm,4,3,Yes,Yes,No,No,2.4km,No,3 Years,No,2.2 km,1.54,extra_large,139733
116 sqm,113 sqm,1,1,Yes,No,Yes,No,1.3km,No,17 Years,No,4.9 km,5.82,medium,58175
213 sqm,196 sqm,3,1,Yes,No,No,No,1.7km,Yes,18 Years,No,3.3 km,2.06,medium,158182
292 sqm,264 sqm,4,5,No,Yes,Yes,Yes,4.7km,Yes,13 Years,No,4.4 km,2.91,medium,235968
318 sqm,290 sqm,5,4,Yes,Yes,Yes,Yes,1.2km,Yes,2 Years,No,1.1 km,5.91,extra_large,263738
335 sqm,316 sqm,5,2,Yes,Yes,Yes,Yes,3.4km,Yes,1 Years,No,6.2 km,5.47,extra_large,262499
142 sqm,128 sqm,1,2,No,No,No,No,4.2km,Yes,17 Years,No,0.6 km,1.92,large,107537
299 sqm,289 sqm,4,4,Yes,Yes,Yes,Yes,6.1km,Yes,12 Years,No,0.6 km,1.49,large,255429
187 sqm,183 sqm,3,1,No,No,No,No,6.5km,No,13 Years,No,5.9 km,0.79,medium,120470
215 sqm,215 sqm,4,4,No,No,Yes,Yes,2.6km,No,20 Years,No,1.7 km,4.64,extra_large,137402
143 sqm,138 sqm,2,3,No,No,Yes,No,4.7km,Yes,18 Years,No,3.2 km,0.77,medium,113216
234 sqm,211 sqm,4,5,Yes,Yes,Yes,Yes,1.8km,Yes,20 Years,No,3.2 km,0.37,large,222625
285 sqm,254 sqm,4,5,Yes,Yes,Yes,No,5.5km,Yes,10 Years,No,4.1 km,1.68,large,230669
202 sqm,180 sqm,3,3,Yes,No,Yes,No,5.6km,No,13 Years,No,0.8 km,3.21,large,140104
230 sqm,222 sqm,4,4,No,Yes,Yes,No,6.8km,No,19 Years,No,0.1 km,4.70,medium,138571
416 sqm,357 sqm,7,8,Yes,Yes,Yes,Yes,2.1km,No,5 Years,No,6.4 km,1.03,large,335409
108 sqm,101 sqm,1,1,No,No,No,No,2.1km,No,16 Years,No,6.5 km,4.83,medium,52854
228 sqm,221 sqm,3,3,No,No,No,Yes,1.8km,No,17 Years,No,5.7 km,1.36,medium,169718
265 sqm,249 sqm,4,2,No,Yes,No,Yes,6.9km,No,19 Years,No,5.7 km,4.38,extra_large,177202
220 sqm,212 sqm,4,4,Yes,Yes,Yes,Yes,1.3km,Yes,17 Years,No,5.9 km,4.28,medium,181187
224 sqm,221 sqm,3,1,Yes,No,Yes,No,3.2km,No,17 Years,No,3.5 km,5.31,medium,124115
273 sqm,260 sqm,4,3,Yes,Yes,Yes,Yes,0.3km,Yes,4 Years,No,0.3 km,1.08,medium,266494
232 sqm,205 sqm,4,2,Yes,Yes,Yes,Yes,5.9km,Yes,1 Years,No,6.9 km,5.66,large,188752
150 sqm,133 sqm,1,2,No,Yes,No,No,1.3km,Yes,8 Years,No,6.5 km,5.66,extra_large,98112
214 sqm,185 sqm,4,3,Yes,Yes,No,Yes,0.1km,Yes,13 Years,No,0.1 km,1.91,medium,205132
257 sqm,222 sqm,4,5,Yes,Yes,Yes,Yes,4.9km,Yes,22 Years,No,0.5 km,5.73,medium,207320
133 sqm,129 sqm,1,2,Yes,No,No,No,4.1km,Yes,7 Years,No,2.3 km,5.83,large,81124
174 sqm,156 sqm,2,1,No,No,Yes,No,3.9km,Yes,20 Years,No,5.8 km,0.98,small,134314
155 sqm,154 sqm,3,3,Yes,No,Yes,No,4.7km,Yes,11 Years,No,0.4 km,1.88,extra_large,122949
302 sqm,282 sqm,5,4,Yes,Yes,No,Yes,2.6km,Yes,10 Years,No,1.2 km,4.44,large,250715
351 sqm,331 sqm,5,4,Yes,Yes,Yes,Yes,3.8km,Yes,9 Years,No,2.2 km,4.70,extra_large,267508
339 sqm,316 sqm,6,5,Yes,Yes,Yes,Yes,4.6km,Yes,13 Years,No,6.7 km,5.03,large,278110
256 sqm,256 sqm,4,3,Yes,Yes,Yes,No,1.6km,Yes,8 Years,No,2.9 km,5.94,large,198542
342 sqm,292 sqm,6,7,Yes,Yes,Yes,Yes,2.4km,Yes,18 Years,No,3.9 km,4.94,large,277497
234 sqm,221 sqm,5,2,Yes,Yes,Yes,Yes,1.4km,Yes,6 Years,No,5.4 km,2.05,extra_large,207626
168 sqm,163 sqm,2,3,No,No,No,No,4.7km,Yes,10 Years,No,2.5 km,3.68,small,118879
154 sqm,151 sqm,3,2,No,No,No,Yes,4.9km,No,6 Years,No,0.7 km,2.40,large,125809
173 sqm,170 sqm,3,4,Yes,No,No,Yes,1.6km,No,15 Years,No,3.9 km,3.12,medium,135525
294 sqm,252 sqm,4,4,Yes,Yes,No,No,5.6km,Yes,20 Years,No,3.7 km,5.02,extra_large,198908
106 sqm,103 sqm,1,1,No,No,Yes,No,0.8km,No,3 Years,No,1.3 km,1.67,large,88692
178 sqm,153 sqm,3,2,No,Yes,Yes,No,1.7km,Yes,1 Years,No,0.8 km,4.39,medium,149056
202 sqm,197 sqm,3,3,Yes,No,No,Yes,6.4km,No,22 Years,No,4.4 km,1.66,medium,138815
204 sqm,197 sqm,4,5,Yes,Yes,No,Yes,1.1km,No,11 Years,No,5.8 km,4.45,extra_large,150168
300 sqm,295 sqm,4,3,Yes,Yes,Yes,Yes,5.9km,Yes,6 Years,No,5.9 km,4.51,extra_large,242622
528 sqm,497 sqm,7,7,Yes,Yes,Yes,Yes,6.4km,Yes,7 Years,No,6.8 km,2.98,large,427607
229 sqm,218 sqm,4,5,Yes,Yes,Yes,Yes,3.4km,No,5 Years,No,3.9 km,2.43,large,194030
187 sqm,168 sqm,2,3,No,Yes,Yes,No,0.5km,No,10 Years,No,3.8 km,5.35,medium,126918
121 sqm,107 sqm,2,1,No,Yes,No,No,4.7km,No,1 Years,No,4.9 km,1.58,large,86211
104 sqm,104 sqm,1,2,Yes,No,No,No,1.3km,No,6 Years,No,0.8 km,4.52,extra_large,61143
231 sqm,208 sqm,4,4,Yes,Yes,Yes,Yes,6.8km,No,2 Years,No,4.9 km,4.30,medium,176019
143 sqm,124 sqm,2,2,No,Yes,No,No,3.3km,No,18 Years,No,5.8 km,0.89,medium,100161
250 sqm,223 sqm,4,2,Yes,Yes,Yes,Yes,1.4km,Yes,14 Years,No,1.2 km,0.08,large,236534
322 sqm,287 sqm,5,5,Yes,Yes,Yes,Yes,3.3km,Yes,5 Years,No,4.2 km,3.88,large,272594
201 sqm,189 sqm,3,3,No,Yes,No,Yes,6.5km,No,18 Years,No,2.6 km,3.78,medium,137120
236 sqm,224 sqm,4,4,Yes,Yes,No,Yes,2.2km,Yes,13 Years,No,2.7 km,2.45,medium,195728
258 sqm,240 sqm,4,5,Yes,Yes,Yes,Yes,2.1km,Yes,6 Years,No,4.2 km,5.46,extra_large,211903
313 sqm,270 sqm,5,2,Yes,Yes,Yes,Yes,2.9km,Yes,11 Years,No,4.7 km,1.98,large,280631
233 sqm,217 sqm,3,4,Yes,Yes,No,No,1.8km,Yes,6 Years,No,6.5 km,5.84,medium,168994
292 sqm,288 sqm,4,2,Yes,Yes,Yes,Yes,2.6km,Yes,16 Years,No,5.9 km,1.06,medium,236111
370 sqm,344 sqm,6,6,Yes,Yes,Yes,Yes,0.5km,Yes,21 Years,No,0.4 km,5.13,extra_large,292440
153 sqm,148 sqm,2,1,No,No,No,No,5.4km,No,19 Years,No,1.6 km,4.40,medium,77573
188 sqm,174 sqm,3,3,No,Yes,No,No,2.3km,No,18 Years,No,2.4 km,1.05,large,139316
262 sqm,231 sqm,5,2,Yes,Yes,Yes,Yes,6.3km,Yes,15 Years,No,3.9 km,0.60,large,230580
113 sqm,108 sqm,1,1,No,No,No,No,1.1km,No,6 Years,No,3.4 km,2.46,small,72682
142 sqm,126 sqm,1,1,Yes,Yes,No,No,2.4km,No,16 Years,No,2.5 km,4.02,extra_large,92117
234 sqm,230 sqm,4,5,No,Yes,Yes,No,1.8km,Yes,1 Years,No,2.3 km,2.40,extra_large,185149
266 sqm,244 sqm,5,4,Yes,Yes,No,Yes,4.3km,Yes,22 Years,No,3.7 km,5.81,extra_large,189975
233 sqm,213 sqm,4,3,Yes,Yes,No,Yes,6.2km,Yes,2 Years,No,4.5 km,3.78,large,191384
273 sqm,261 sqm,4,2,Yes,Yes,Yes,Yes,4.4km,Yes,1 Years,No,5.6 km,4.82,medium,211269
198 sqm,198 sqm,3,3,No,No,Yes,No,3.6km,Yes,9 Years,No,5.2 km,0.23,medium,158370
120 sqm,108 sqm,2,1,No,No,No,No,2.8km,No,17 Years,No,2.9 km,4.25,large,66370
392 sqm,386 sqm,6,7,Yes,Yes,Yes,Yes,3.8km,Yes,22 Years,Yes,2.2 km,1.40,large,363899
345 sqm,296 sqm,5,3,Yes,Yes,Yes,No,4.3km,Yes,6 Years,No,1.2 km,2.74,large,284237
239 sqm,221 sqm,5,5,Yes,Yes,Yes,Yes,3.1km,Yes,13 Years,No,0.2 km,5.72,large,189824
178 sqm,165 sqm,2,3,No,Yes,No,No,4.7km,No,15 Years,No,5.5 km,5.57,medium,94776
313 sqm,288 sqm,5,3,Yes,Yes,Yes,Yes,1.8km,Yes,2 Years,No,1.2 km,5.35,extra_large,258661
190 sqm,182 sqm,4,3,Yes,Yes,Yes,Yes,1.6km,Yes,13 Years,No,4.4 km,0.07,extra_large,177324
291 sqm,282 sqm,4,2,Yes,Yes,No,Yes,0.4km,Yes,11 Years,No,2.6 km,4.73,extra_large,249543
137 sqm,118 sqm,2,2,No,No,Yes,No,1.2km,No,12 Years,No,4.4 km,5.42,medium,89701
449 sqm,390 sqm,6,6,Yes,Yes,Yes,Yes,1.4km,Yes,12 Years,No,5.7 km,1.27,large,381668
162 sqm,142 sqm,3,2,Yes,No,Yes,No,5.3km,No,14 Years,No,0.4 km,1.36,extra_large,122709
161 sqm,153 sqm,3,3,No,No,No,No,0.4km,Yes,20 Years,No,3.1 km,0.73,extra_large,132142
277 sqm,254 sqm,5,3,Yes,Yes,Yes,Yes,0.3km,No,6 Years,No,1.5 km,4.15,large,232619
257 sqm,222 sqm,5,5,Yes,Yes,Yes,Yes,0.6km,No,5 Years,No,3.6 km,3.63,large,211353
105 sqm,103 sqm,1,1,Yes,No,No,No,2.6km,No,3 Years,No,4.4 km,4.35,extra_large,59119
277 sqm,263 sqm,5,5,Yes,Yes,Yes,Yes,4.1km,Yes,5 Years,No,1.8 km,3.74,large,238406
217 sqm,212 sqm,3,4,No,No,No,No,5.5km,Yes,14 Years,No,1.6 km,0.59,medium,157693
181 sqm,154 sqm,3,1,No,Yes,No,Yes,6.1km,No,9 Years,No,1.6 km,2.02,medium,137245
204 sqm,182 sqm,3,1,Yes,Yes,No,No,1.7km,Yes,21 Years,No,1.4 km,1.07,medium,162297
221 sqm,199 sqm,4,4,Yes,Yes,Yes,Yes,0.6km,Yes,17 Years,No,5.3 km,5.90,extra_large,175216
193 sqm,166 sqm,4,5,No,Yes,No,Yes,1.3km,Yes,11 Years,No,0.2 km,5.98,medium,165097
282 sqm,258 sqm,4,2,Yes,Yes,Yes,No,6.8km,Yes,12 Years,No,6.1 km,0.99,medium,221669
176 sqm,161 sqm,2,2,No,No,No,Yes,5.5km,No,20 Years,No,0.4 km,5.48,large,116152
144 sqm,131 sqm,2,3,No,No,No,Yes,0.6km,No,10 Years,No,6.6 km,1.43,large,120854
231 sqm,212 sqm,3,3,Yes,Yes,No,Yes,3.3km,No,9 Years,No,2.9 km,5.49,large,159165
302 sqm,285 sqm,5,4,Yes,Yes,Yes,Yes,5.5km,Yes,9 Years,Yes,5.3 km,1.84,large,288564
153 sqm,152 sqm,3,1,Yes,No,No,Yes,3.5km,Yes,12 Years,No,2.6 km,4.01,large,131952
297 sqm,286 sqm,4,2,Yes,Yes,No,Yes,2.7km,Yes,15 Years,No,0.2 km,0.18,extra_large,252552
105 sqm,102 sqm,1,1,No,No,No,No,3.2km,No,14 Years,No,3.9 km,1.29,large,72037
158 sqm,156 sqm,2,1,No,No,Yes,No,3.2km,No,7 Years,No,6.9 km,1.87,small,98201
173 sqm,173 sqm,3,2,No,No,No,No,0.6km,No,1 Years,No,3.7 km,2.24,medium,128447
251 sqm,243 sqm,4,5,Yes,Yes,Yes,Yes,5.4km,Yes,18 Years,No,4.8 km,1.13,extra_large,207362
224 sqm,202 sqm,4,2,Yes,Yes,Yes,Yes,0.4km,Yes,19 Years,No,6.5 km,1.49,extra_large,204630
346 sqm,304 sqm,6,7,Yes,Yes,Yes,Yes,5.3km,Yes,16 Years,No,1.6 km,1.13,extra_large,289999
299 sqm,288 sqm,4,4,Yes,Yes,Yes,Yes,1.1km,No,8 Years,No,3.4 km,4.22,extra_large,217160
200 sqm,184 sqm,3,3,Yes,No,No,No,3.5km,No,5 Years,No,1.3 km,1.32,medium,139534
204 sqm,182 sqm,4,3,Yes,Yes,Yes,Yes,6.7km,Yes,13 Years,No,4.6 km,0.09,extra_large,183935
204 sqm,177 sqm,4,3,Yes,Yes,Yes,Yes,6.8km,Yes,22 Years,No,4.2 km,1.38,extra_large,174600
271 sqm,251 sqm,4,2,Yes,Yes,Yes,Yes,4.2km,Yes,9 Years,No,0.6 km,3.19,medium,225148
225 sqm,201 sqm,3,2,No,No,No,Yes,1.4km,Yes,18 Years,No,4.2 km,2.82,large,177239
270 sqm,254 sqm,4,5,Yes,Yes,Yes,Yes,0.6km,Yes,2 Years,No,4.3 km,2.37,medium,246186
207 sqm,194 sqm,4,3,Yes,Yes,Yes,Yes,2.7km,No,17 Years,No,3.1 km,1.62,medium,169277
103 sqm,93 sqm,1,1,No,No,No,No,0.6km,No,9 Years,No,3.4 km,2.65,medium,66614
257 sqm,222 sqm,4,3,Yes,Yes,Yes,Yes,1.2km,Yes,10 Years,No,0.8 km,3.74,medium,231762
150 sqm,139 sqm,3,2,Yes,Yes,No,No,3.8km,No,6 Years,No,4.1 km,5.03,medium,96605
354 sqm,348 sqm,5,3,Yes,Yes,Yes,Yes,6.9km,Yes,18 Years,No,1.1 km,2.91,extra_large,274909
160 sqm,151 sqm,2,2,Yes,No,No,Yes,3.1km,No,2 Years,No,6.9 km,4.88,large,109029
518 sqm,471 sqm,7,6,Yes,Yes,Yes,Yes,0.1km,Yes,5 Years,No,6.8 km,2.96,large,440612
170 sqm,170 sqm,2,2,Yes,No,Yes,No,2.3km,No,20 Years,No,3.9 km,3.80,large,111139
363 sqm,313 sqm,6,6,Yes,Yes,Yes,Yes,4.8km,No,21 Years,No,1.1 km,3.17,large,271601
202 sqm,182 sqm,3,4,Yes,Yes,Yes,No,6.3km,Yes,1 Years,No,4.2 km,1.05,medium,171333
288 sqm,270 sqm,4,3,Yes,Yes,Yes,Yes,3.1km,Yes,15 Years,No,5.9 km,4.02,medium,237043
270 sqm,235 sqm,4,2,Yes,Yes,Yes,Yes,2.7km,Yes,11 Years,No,3.2 km,2.55,extra_large,230506
180 sqm,171 sqm,2,2,No,No,No,No,6.2km,No,3 Years,No,4.9 km,2.09,medium,113858
129 sqm,127 sqm,2,2,No,No,No,Yes,0.5km,No,9 Years,No,5.6 km,0.32,large,119493
176 sqm,160 sqm,3,1,Yes,No,Yes,No,0.7km,Yes,15 Years,No,4.7 km,4.38,extra_large,130314
122 sqm,113 sqm,1,2,No,Yes,No,No,2.4km,No,12 Years,No,4.7 km,0.95,large,96332
130 sqm,114 sqm,2,1,No,No,No,No,3.7km,No,5 Years,No,3.9 km,2.22,medium,79872
227 sqm,202 sqm,3,3,No,Yes,No,No,2.8km,No,12 Years,No,0.5 km,2.38,extra_large,146836
245 sqm,244 sqm,4,4,Yes,Yes,Yes,Yes,3.2km,Yes,12 Years,No,4.2 km,4.99,large,195536
274 sqm,233 sqm,5,2,Yes,Yes,Yes,Yes,1.1km,Yes,11 Years,No,6.5 km,3.71,large,234409
165 sqm,157 sqm,3,1,Yes,No,No,No,4.9km,No,3 Years,No,4.2 km,0.85,medium,120596
106 sqm,97 sqm,1,2,No,Yes,No,No,6.3km,No,7 Years,No,1.7 km,3.82,large,63677
120 sqm,110 sqm,2,3,Yes,No,Yes,No,1.9km,No,3 Years,No,4.4 km,5.52,large,71679
599 sqm,519 sqm,7,5,Yes,Yes,Yes,Yes,3.7km,Yes,3 Years,No,1.8 km,0.78,large,510056
329 sqm,328 sqm,6,5,Yes,Yes,Yes,Yes,5.8km,Yes,7 Years,No,2.3 km,1.51,large,286091
196 sqm,179 sqm,3,2,No,Yes,No,No,6.4km,Yes,10 Years,No,0.8 km,4.84,extra_large,129420
104 sqm,96 sqm,1,1,Yes,Yes,No,No,5.6km,No,7 Years,No,6.4 km,3.05,medium,70581
214 sqm,187 sqm,4,4,Yes,Yes,Yes,Yes,1.4km,Yes,2 Years,No,5.5 km,3.01,medium,196731
277 sqm,266 sqm,4,4,No,Yes,Yes,Yes,3.6km,Yes,8 Years,No,3.3 km,4.51,large,223283
142 sqm,132 sqm,2,3,No,Yes,No,No,4.3km,No,22 Years,No,2.5 km,4.35,medium,78583
236 sqm,222 sqm,4,4,Yes,Yes,Yes,Yes,2.4km,Yes,5 Years,No,2.9 km,1.31,large,218916
200 sqm,200 sqm,3,3,Yes,No,No,Yes,6.3km,No,8 Years,No,2.8 km,4.47,extra_large,135304
287 sqm,256 sqm,5,4,Yes,Yes,Yes,Yes,5.7km,Yes,11 Years,No,2.6 km,0.73,large,260817
194 sqm,191 sqm,3,4,No,No,Yes,No,6.2km,No,5 Years,No,0.4 km,1.87,medium,129140
125 sqm,109 sqm,1,1,Yes,Yes,No,No,6.9km,No,9 Years,No,3.3 km,1.27,large,87038
202 sqm,184 sqm,4,3,Yes,Yes,Yes,Yes,0.1km,Yes,12 Years,No,0.8 km,3.57,medium,197462
221 sqm,202 sqm,4,4,Yes,Yes,Yes,Yes,0.6km,Yes,11 Years,No,2.5 km,1.37,large,214333
229 sqm,222 sqm,3,3,Yes,Yes,No,Yes,0.7km,No,16 Years,No,0.6 km,0.75,extra_large,196262
198 sqm,198 sqm,4,3,Yes,Yes,Yes,Yes,0.9km,Yes,16 Years,No,1.6 km,4.85,medium,166865
224 sqm,195 sqm,4,5,Yes,Yes,Yes,Yes,0.7km,Yes,8 Years,No,6.3 km,2.22,large,208566
172 sqm,170 sqm,2,2,No,No,Yes,No,4.2km,No,13 Years,No,0.2 km,0.80,medium,125319
228 sqm,211 sqm,4,2,Yes,Yes,No,No,2.8km,Yes,21 Years,No,5.8 km,5.79,large,158199
122 sqm,114 sqm,2,2,No,Yes,No,No,1.9km,No,6 Years,No,0.9 km,1.46,medium,93296
146 sqm,131 sqm,2,1,Yes,No,Yes,No,5.2km,No,8 Years,Yes,0.4 km,1.12,medium,128225
351 sqm,325 sqm,5,5,Yes,Yes,Yes,Yes,4.3km,Yes,21 Years,No,1.2 km,1.46,large,286234
143 sqm,141 sqm,1,2,No,No,No,No,6.3km,No,16 Years,No,6.5 km,1.80,medium,85088
255 sqm,249 sqm,5,3,Yes,Yes,Yes,No,4.6km,Yes,11 Years,No,3.7 km,1.21,large,201916
690 sqm,581 sqm,8,5,Yes,Yes,Yes,Yes,6.6km,Yes,13 Years,No,5.3 km,5.52,extra_large,492896
231 sqm,230 sqm,3,4,No,No,No,No,4.4km,No,14 Years,No,6.1 km,5.77,medium,133307
194 sqm,189 sqm,4,3,Yes,No,Yes,Yes,4.6km,Yes,22 Years,No,1.8 km,0.52,extra_large,169703
195 sqm,195 sqm,3,3,Yes,No,No,No,0.9km,No,14 Years,No,6.2 km,0.99,medium,142522
353 sqm,329 sqm,5,2,Yes,Yes,Yes,Yes,2.3km,Yes,10 Years,No,6.4 km,2.79,large,299302
216 sqm,200 sqm,4,2,Yes,Yes,Yes,Yes,5.2km,Yes,4 Years,No,2.8 km,0.14,medium,197919
251 sqm,225 sqm,4,4,Yes,Yes,Yes,Yes,6.9km,Yes,8 Years,No,2.9 km,0.51,medium,225562
